,,,,,,,,,,,
,,,,,,,,,,,
Age(Period),Age(Ma),Rock Type,Geologic Environment,SiO2 %,TiO2 %,MgO %,FeO* %,K2O %,Latitude,Longitude,database 
Cretaceous,65.6,Basalt,volcanic arc,52.15,0.79,3.63,7.47,0.68,52.316,-172.51,PetDB
Cretaceous,84.6,Basalt,volcanic arc,52.41,0.76,3.44,7.12,0.88,52.316,-172.51,PetDB
Cretaceous,98.1,Basalt,volcanic arc,52.5,0.69,3.62,7.12,0.65,52.316,-172.51,PetDB
Cretaceous,138.6,Basalt,volcanic arc,49.21,0.91,7.01,,1.01,51.9192,-177.161,PetDB
Cretaceous,122.7,Basalt,volcanic arc,47.6,1.08,5.77,,0.98,51.9192,-177.161,PetDB
Cretaceous,75.6,Andesite,volcanic arc,56.77,1.13,3.35,,0.92,52.3083,-172.511,PetDB
Cretaceous,114,Andesite,volcanic arc,63,,,,1.3,58.26,-155.22,PetDB
Cretaceous,70,Andesite,volcanic arc,65,,,,1.759,58.23,-155.07,PetDB
Cretaceous,70,Andesite,volcanic arc,59.8,,,,1.064,58.279,-154.953,PetDB
Cretaceous,93,Andesite,volcanic arc,61.9,,,,2.009,58.1946,-155.254,PetDB
Cretaceous,104,Andesite,volcanic arc,57.7,,,,1.58,58.1574,-155.398,PetDB
Cretaceous,89,Andesite,volcanic arc,60.4,,,,1.83,58.1946,-155.254,PetDB
Cretaceous,71,Andesite,volcanic arc,57.8,,,,1.259,58.1946,-155.254,PetDB
Cretaceous,101,Andesite,volcanic arc,61.7,,,,1.348,58.2343,-155.103,PetDB
Cretaceous,133,Andesite,volcanic arc,59,,,,1.254,58.3572,-155.104,PetDB
Cretaceous,92,Andesite,volcanic arc,57.9,,,,1.217,58.3336,-154.686,PetDB
Cretaceous,139,Andesite,volcanic arc,60,,,,1.069,58.2343,-155.103,PetDB
Cretaceous,132,Basalt,volcanic arc,54.1,,,,0.531,58.55,-154.52,PetDB
Cretaceous,73,Andesite,volcanic arc,61.72,0.68,3.09,6.16,1.3,58.23,-155.02,PetDB
Cretaceous,139,Andesite,volcanic arc,60,0.78,3.12,7.25,1.06,58.23,-155.02,PetDB
Cretaceous,90,Andesite,volcanic arc,62.7,0.69,1.59,4.54,2.027,58.35,-155.1,PetDB
Cretaceous,133,Andesite,volcanic arc,57.8,0.75,3.62,6.87,1.254,58.35,-155.1,PetDB
Cretaceous,85,Basalt,convergent margin,47.92,2.28,5.81,,0.58,9.5,-84,PetDB
Cretaceous,85,Basalt,convergent margin,49.35,0.84,8.87,,0.28,9.5,-84,PetDB
Cretaceous,90,Basalt,convergent margin,48.65,1,8.41,,0.1,9.5,-84,PetDB
Cretaceous,93,Andesite,convergent margin,51.2,0.89,3.26,,2.74,21.9683,-79.5044,PetDB
Cretaceous,93,Andesite,convergent margin,53.3,0.82,4.15,,1.04,21.9393,-79.5412,PetDB
Cretaceous,95.4,Basalt,seamount,51.07,2.01,5.36,,0.46,17.0187,150.326,PetDB
Cretaceous,84.2,Basalt,seamount,50.06,1.94,6.17,,0.53,17.0775,150.721,PetDB
Cretaceous,91.7,Basalt,seamount,51.89,1.69,6.1,,0.63,17.7571,151.169,PetDB
,98.8,Basalt,seamount,46.1,2.59,5.72,,0.93,17.1231,150.046,PetDB
