License: CC0 1.0 Universal (CC0 1.0) Public Domain Dedication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Citation: Qin, Ben; Fang, Huang; Shichun, Huang; Andre, Python; Yunfeng, Chen; J, ZhangZhou, 2022, ""Global mantle clinopyroxene data (major and trace elements)"", https://doi.org/10.25625/AVAW2Y, GRO.data, V2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITATIONS,SAMPLE NAME,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE (MIN.),LATITUDE (MAX.),LONGITUDE (MIN.),LONGITUDE (MAX.),LAND/SEA (SAMPLING),ROCK NAME,ROCK TEXTURE,MINERAL,SPOT,RIM/CORE (MINERAL GRAINS),PRIMARY/SECONDARY,SC(PPM),TI(PPM),V(PPM),CR(PPM),NI(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),PB(PPM),TH(PPM),U(PPM),Petrography,Note,Labelled by LREE
[10519] KOVACS I. J. (2004),samp. NFL16,INTRAPLATE VOLCANICS,"CARPATHIAN BELT AND PANNONIAN BASIN / EASTERN ALPINE-WESTERN CARPATHIAN-NORTHERN PANNONI / NOGRAD-G諱諶 VOLCANIC FIELD / F躄EK-FILAKOVO-KERCSIKTET?,"",48.27""",,48.27,48.27,19.83,19.83,subaerial,"CLINOPYROXENITE, XENOLITH",,CLINOPYROXENE,,core,secondary,69.49,,,290.68,83.42,0.33,68.29,12.45,61.33,0.58,0.94,5.19,15.76,2.5,12.93,3.76,1.44,3.77,0.58,3.17,0.59,1.38,0.18,1.23,0.15,2.66,0.14,0.11,0.42,0.12,Amphibole,,
[10519] KOVACS I. J. (2004),samp. NBK16,INTRAPLATE VOLCANICS,CARPATHIAN BELT AND PANNONIAN BASIN / EASTERN ALPINE-WESTERN CARPATHIAN-NORTHERN PANNONI / NOGRAD-G諱諶 VOLCANIC FIELD / BARNA,"BARNA-KISK?,48.1""",48.1,48.1,19.93,19.93,subaerial,"CLINOPYROXENITE, XENOLITH",,CLINOPYROXENE,,core,secondary,44.28,,,14.71,29.45,0,113.53,16.22,98.95,1.12,0,8.1,25.15,3.88,19.69,5.54,1.95,4.35,0.76,3.8,0.75,1.94,0.27,1.75,0.25,3.95,0.3,0.05,0.33,0.05,Amphibole,,
[10963] ZHENG JIAN-PING (2007),samp. JG6,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / LIAONING PROVINCE,"JIANGUO VILLAGE, ABOUT 30 KM NE OF FUXIN CITY",42.02,42.02,121.66,121.66,subaerial,"LHERZOLITE, SPINEL, XENOLITH",PORPHYROCLASTIC,CLINOPYROXENE,,,secondary,55.3,1222,223,6536,331,0.05,112,6.36,12.3,0.05,0.29,1.98,6.63,1.04,4.95,1.29,0.46,1.18,0.19,1.24,0.25,0.67,0.09,0.61,0.08,0.48,0,0.54,0.16,0.04,,,
[10963] ZHENG JIAN-PING (2007),samp. JG17,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / LIAONING PROVINCE,"JIANGUO VILLAGE, ABOUT 30 KM NE OF FUXIN CITY",42.02,42.02,121.66,121.66,subaerial,"LHERZOLITE, SPINEL, XENOLITH",PORPHYROCLASTIC,CLINOPYROXENE,,,secondary,38.7,6546,199,4333,1227,7.68,119,13.3,67.2,11.2,41.2,6.9,21.5,3.27,15.5,3.94,1.42,3.45,0.5,3.01,0.56,1.44,0.19,1.11,0.18,1.73,0.41,0.48,0.49,0.21,,,
[10963] ZHENG JIAN-PING (2007),samp. JG18,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / LIAONING PROVINCE,"JIANGUO VILLAGE, ABOUT 30 KM NE OF FUXIN CITY",42.02,42.02,121.66,121.66,subaerial,"LHERZOLITE, SPINEL, XENOLITH",PORPHYROCLASTIC,CLINOPYROXENE,,,secondary,66.8,1646,244,6349,325,0,112,8.73,24.5,0.03,0,2.14,8.47,1.6,8.32,2.76,0.76,2.65,0.36,2.05,0.39,1.05,0.12,0.76,0.15,1.37,0.06,0.52,0.32,0.29,,,
[10963] ZHENG JIAN-PING (2007),samp. JG19,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / LIAONING PROVINCE,"JIANGUO VILLAGE, ABOUT 30 KM NE OF FUXIN CITY",42.02,42.02,121.66,121.66,subaerial,"LHERZOLITE, SPINEL, XENOLITH",PORPHYROCLASTIC,CLINOPYROXENE,,,secondary,60.5,1968,241,5839,308,0.18,91.4,11.8,17.1,0.22,0.72,2.66,10.1,1.94,10.1,2.83,0.88,2.77,0.4,2.53,0.48,1.33,0.22,1.27,0.2,0.7,0.04,0.64,0.26,0.17,,,
[10963] ZHENG JIAN-PING (2007),samp. JG20,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / LIAONING PROVINCE,"JIANGUO VILLAGE, ABOUT 30 KM NE OF FUXIN CITY",42.02,42.02,121.66,121.66,subaerial,"LHERZOLITE, SPINEL, XENOLITH",PORPHYROCLASTIC,CLINOPYROXENE,,,secondary,58.9,1555,286,7291,413,0.99,111,7.28,20.1,0.11,5.5,2.02,10.7,1.67,8.71,2.5,0.88,2.15,0.3,1.78,0.35,0.97,0.18,1.2,0.15,1.4,0,1.26,0.27,0.15,,,
[10963] ZHENG JIAN-PING (2007),samp. JG26,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / LIAONING PROVINCE,"JIANGUO VILLAGE, ABOUT 30 KM NE OF FUXIN CITY",42.02,42.02,121.66,121.66,subaerial,"LHERZOLITE, SPINEL, XENOLITH",PORPHYROCLASTIC,CLINOPYROXENE,,,secondary,65.3,1587,226,6005,327,0.56,146,9.22,46.7,2.71,24.4,5.16,16.3,2.52,11.7,2.98,0.79,2.43,0.32,2.04,0.39,0.91,0.13,0.9,0.11,0.93,0.14,0.34,0.49,0.14,,,
[10963] ZHENG JIAN-PING (2007),samp. JG27,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / LIAONING PROVINCE,"JIANGUO VILLAGE, ABOUT 30 KM NE OF FUXIN CITY",42.02,42.02,121.66,121.66,subaerial,"LHERZOLITE, SPINEL, XENOLITH",PORPHYROCLASTIC,CLINOPYROXENE,,,secondary,63.3,1089,224,7266,364,0.35,49.9,6.98,7.8,0.18,0.8,1.07,3.34,0.59,2.98,0.84,0.28,1.05,0.17,1.24,0.27,0.79,0.11,0.73,0.11,0.27,0,0.21,0.06,0.02,,,
[10963] ZHENG JIAN-PING (2007),samp. JG28,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / LIAONING PROVINCE,"JIANGUO VILLAGE, ABOUT 30 KM NE OF FUXIN CITY",42.02,42.02,121.66,121.66,subaerial,"LHERZOLITE, SPINEL, XENOLITH",PORPHYROCLASTIC,CLINOPYROXENE,,,secondary,60.7,1061,209,7124,370,0,51,6.47,7.16,0.13,0.16,1.01,3.25,0.58,2.86,0.8,0.28,0.92,0.16,1.14,0.26,0.73,0.11,0.76,0.1,0.26,0,0.21,0.1,0,,,
