License: CC0 1.0 Universal (CC0 1.0) Public Domain Dedication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Citation: Qin, Ben; Fang, Huang; Shichun, Huang; Andre, Python; Yunfeng, Chen; J, ZhangZhou, 2022, ""Global mantle clinopyroxene data (major and trace elements)"", https://doi.org/10.25625/AVAW2Y, GRO.data, V2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITATIONS,SAMPLE NAME,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE (MIN.),LATITUDE (MAX.),LONGITUDE (MIN.),LONGITUDE (MAX.),LAND/SEA (SAMPLING),ROCK NAME,ROCK TEXTURE,MINERAL,SPOT,RIM/CORE (MINERAL GRAINS),PRIMARY/SECONDARY,SC(PPM),TI(PPM),V(PPM),CR(PPM),NI(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),PB(PPM),TH(PPM),U(PPM),Petrography,Note,Labelled by LREE
[20483] CHIN E. J. (2016),samp. 08BC03,RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / SIERRA NEVADA / CALIFORNIA / BIG CREEK DIATREME,,37.2102,37.2102,-119.2473,-119.2473,subaerial,"PERIDOTITE, GARNET, XENOLITH",,CLINOPYROXENE,,,secondary,38.76531423,1370.176156,204.5423081,7398.813523,248.0714453,0.201784846,52.52982366,1.442404173,11.93864039,0.0801,8.123801322,1.383786834,3.702169953,0.598146554,3.230067196,0.975365017,0.270532569,0.857213576,0.121026334,0.499391991,0.0803,0.12098823,0.0123,0.0281,0.0035,0.665741373,0.0149,0.638573982,0.158113572,0.0963,,,
[20483] CHIN E. J. (2016),samp. BC10-1,RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / SIERRA NEVADA / CALIFORNIA / BIG CREEK DIATREME,,37.2102,37.2102,-119.2473,-119.2473,subaerial,"PERIDOTITE, SPINEL, XENOLITH",,CLINOPYROXENE,,,secondary,54.41429215,285.0403141,147.472105,5036.133641,221.3652006,0.839435677,41.81569419,3.594296827,2.082683462,0.1463916,13.71063389,0.427640293,1.272389343,0.214499922,0.931939808,0.269251014,0.0802,0.422702375,0.0704,0.511296193,0.12154213,0.449930608,0.0677,0.494387556,0.101716606,0.062,0.0138,0.467051761,0.0169,0.0568,,,
[20483] CHIN E. J. (2016),samp. BC77,RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / SIERRA NEVADA / CALIFORNIA / BIG CREEK DIATREME,,37.2102,37.2102,-119.2473,-119.2473,subaerial,"PERIDOTITE, GARNET, XENOLITH",,CLINOPYROXENE,,,secondary,21.04386161,344.7269831,229.1498717,5605.111769,227.8834269,0.0208,57.78116034,0.218528963,3.720783834,0.00618,0.893946885,0.894604509,3.404183254,0.489275426,1.839923644,0.342085374,0.0868,0.210651838,0.0194,0.111209643,0.0115,0.0164,0.00152,0.00705,0.00227,0.252642644,0.00299,0.29343431,0.00289,0.00229,Amphibole,,
[20483] CHIN E. J. (2016),samp. 08BC08,RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / SIERRA NEVADA / CALIFORNIA / BIG CREEK DIATREME,,37.2102,37.2102,-119.2473,-119.2473,subaerial,"PERIDOTITE, GARNET, XENOLITH",,CLINOPYROXENE,,,secondary,21.5617639,232.1091603,206.6772331,5120.436848,233.7783041,0.0274,103.7632809,0.456705045,0.865435656,0.00516,5.437268946,0.67651438,1.640716762,0.211067,1.012547755,0.274502878,0.0813,0.294693822,0.0357,0.14359042,0.0204,0.036,0.00422,0.0135,0.000513,0.093,0.00105,0.298463108,0.00234,0.00188,,,
[20483] CHIN E. J. (2016),samp. 08BC03,RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / SIERRA NEVADA / CALIFORNIA / BIG CREEK DIATREME,,37.2102,37.2102,-119.2473,-119.2473,subaerial,"PERIDOTITE, GARNET, XENOLITH",,CLINOPYROXENE,,,secondary,39.91520794,1619.45782,205.3283274,7884.18534,240.1161675,0.127586098,49.72886487,1.661469124,12.515606,0.0707,5.320914705,1.298206774,3.408812336,0.599125547,3.052728449,0.946068775,0.339920647,0.936910042,0.128729568,0.501366906,0.0712,0.144572739,0.0157,0.05,0.00856,0.633284804,0.0228,0.599780394,0.0911,0.0566,,,
[20483] CHIN E. J. (2016),samp. BC77,RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / SIERRA NEVADA / CALIFORNIA / BIG CREEK DIATREME,,37.2102,37.2102,-119.2473,-119.2473,subaerial,"PERIDOTITE, GARNET, XENOLITH",,CLINOPYROXENE,,,secondary,20.84408258,480.3203761,229.7419776,6827.055148,237.7264093,0.088418761,59.67404217,0.256147719,4.31672274,0.0023,2.300299154,0.958181528,3.544864123,0.528979006,2.144149139,0.389220107,0.109130647,0.242009613,0.0252,0.110178243,0.0087,0.012865142,0.00102,0.00942,0.000362,0.281586984,0.00222,0.285672389,0.00403,0.00288,Amphibole,,
[20483] CHIN E. J. (2016),samp. 08BC03,RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / SIERRA NEVADA / CALIFORNIA / BIG CREEK DIATREME,,37.2102,37.2102,-119.2473,-119.2473,subaerial,"PERIDOTITE, GARNET, XENOLITH",,CLINOPYROXENE,,,secondary,34.17378536,1075.855099,229.2707816,7240.93625,241.255131,0.16033719,54.17998446,0.645829628,10.74034125,0.025875886,9.17339656,1.331768206,3.578785154,0.544746317,3.17499917,0.981594187,0.296488998,0.75305219,0.0851,0.305007957,0.0304,0.0287,0.00355,0.012,0.00221,0.752549819,0.00511,0.530570242,0.0959,0.061,,,
[20483] CHIN E. J. (2016),samp. BC77,RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / SIERRA NEVADA / CALIFORNIA / BIG CREEK DIATREME,,37.2102,37.2102,-119.2473,-119.2473,subaerial,"PERIDOTITE, GARNET, XENOLITH",,CLINOPYROXENE,,,secondary,22.44319853,523.2062052,231.7706601,6968.041718,236.7016536,0.0634,60.23326031,0.244265708,5.162958171,0.012,3.647893791,0.994932941,3.913365522,0.594673781,2.283821362,0.391364691,0.0879,0.277284571,0.0361,0.0992,0.00974,0.0215,0.00258,0.003,0.00104,0.358403088,0.00106,0.384421879,0.00384,0.00274,Amphibole,,
[20483] CHIN E. J. (2016),samp. 08BC08,RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / SIERRA NEVADA / CALIFORNIA / BIG CREEK DIATREME,,37.2102,37.2102,-119.2473,-119.2473,subaerial,"PERIDOTITE, GARNET, XENOLITH",,CLINOPYROXENE,,,secondary,20.92829036,213.7586305,198.5922297,4019.895464,229.5070038,0.00249,95.76811386,0.436174293,0.79439756,0,0.0133,0.676667061,1.489366511,0.219909819,0.894624886,0.29688205,0.0671,0.269093964,0.0333,0.125032796,0.0174,0.0297,0.00494,0.0118,0.00108,0.0646,0.00111,0.303633197,0.00123,0.00149,,,
[20483] CHIN E. J. (2016),samp. BC77,RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / SIERRA NEVADA / CALIFORNIA / BIG CREEK DIATREME,,37.2102,37.2102,-119.2473,-119.2473,subaerial,"PERIDOTITE, GARNET, XENOLITH",,CLINOPYROXENE,,,secondary,22.42099119,488.5483976,248.0775712,7043.053587,227.9497988,0.0536,59.67362245,0.165516055,4.790725294,0.0111,2.21479509,0.957589573,3.538994223,0.517831162,2.10511039,0.362224423,0.0825,0.20272765,0.0284,0.0832,0.0103,0.0113,0.00148,0.00138,0,0.336733519,0.00325,0.266141991,0.00212,0.0028,Amphibole,,
[20483] CHIN E. J. (2016),samp. BC10-1,RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / SIERRA NEVADA / CALIFORNIA / BIG CREEK DIATREME,,37.2102,37.2102,-119.2473,-119.2473,subaerial,"PERIDOTITE, SPINEL, XENOLITH",,CLINOPYROXENE,,,secondary,51.49044011,277.7082035,152.9497096,6168.471769,251.2733144,0.487743101,47.39020383,4.023223318,2.439705199,0.0869,9.797633633,0.4708976,1.343347567,0.204309619,0.993799868,0.259778213,0.094484263,0.428999557,0.0709,0.537332925,0.143287241,0.566528338,0.0839,0.648866321,0.107844944,0.0901,0.00701,0.721114178,0.0208,0.066,,,
[20483] CHIN E. J. (2016),samp. BC77,RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / SIERRA NEVADA / CALIFORNIA / BIG CREEK DIATREME,,37.2102,37.2102,-119.2473,-119.2473,subaerial,"PERIDOTITE, GARNET, XENOLITH",,CLINOPYROXENE,,,secondary,17.71520878,374.8375195,229.6942147,6420.852154,246.3298365,0.000804,57.18363066,0.153018588,3.662528288,0.0022,0.0704,0.94500919,3.489466685,0.505553706,1.892738241,0.303417895,0.0725,0.191747342,0.0202,0.0703,0.00832,0.00513,0.000324,0.003,0.000346,0.219251206,0.00142,0.19487092,0.00462,0.00336,Amphibole,,
[20483] CHIN E. J. (2016),samp. BC10-4,RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / SIERRA NEVADA / CALIFORNIA / BIG CREEK DIATREME,,37.2102,37.2102,-119.2473,-119.2473,subaerial,"PERIDOTITE, SPINEL, XENOLITH",,CLINOPYROXENE,,,secondary,59.87565483,379.6227118,165.1538757,5122.41917,244.5315887,0.0177,70.54205696,6.607777301,33.27835548,0.019992753,3.787255133,0.271035629,2.090280849,0.680794554,4.910557643,1.544703521,0.503008036,1.387039424,0.21177555,1.172569032,0.266218764,0.713212725,0.114337516,0.741285901,0.162721841,0.907815557,0.02,0.32366469,0,0.00278,,,
[20483] CHIN E. J. (2016),samp. BC10-4,RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / SIERRA NEVADA / CALIFORNIA / BIG CREEK DIATREME,,37.2102,37.2102,-119.2473,-119.2473,subaerial,"PERIDOTITE, SPINEL, XENOLITH",,CLINOPYROXENE,,,secondary,54.11316985,303.5417403,152.2575867,4091.490733,311.038309,0.318687721,52.3570531,5.227307107,20.42996556,0.0125,2.049658337,0.222739163,1.500776394,0.469359567,3.607685927,1.163281778,0.404784347,1.163580603,0.167052383,0.969268428,0.221460771,0.565891014,0.0814,0.594982833,0.101766041,0.576246698,0.0121,0.264017067,0.00125,0.00298,,,
[20612] ZOU DONGYA (2016),samp. WLG14-19,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HEBEI PROVINCE / CHIFENG VOLCANIC FIELD,WEICHANG,41.94,41.94,117.74,117.74,subaerial,"LHERZOLITE, SPINEL, XENOLITH",PORPHYROCLASTIC+RESORPTION ,CLINOPYROXENE,,core,secondary,6.1,,10,11,,6.64,81.3,7.3,95.2,7.47,50.07,8.56,15.34,1.7,6.44,1.48,0.266,1.1,0.178,1.29,0.237,0.75,0.147,1.18,0.168,2.37,0.7,13.53,7.29,2.26,,,
[20612] ZOU DONGYA (2016),samp. WLG14-19,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HEBEI PROVINCE / CHIFENG VOLCANIC FIELD,WEICHANG,41.94,41.94,117.74,117.74,subaerial,"LHERZOLITE, SPINEL, XENOLITH",PORPHYROCLASTIC+RESORPTION ,CLINOPYROXENE,,rim,secondary,5.5,,9,10,,6.43,79.8,7.2,92.9,6.96,52.38,8.38,15.8,1.61,6.14,1.04,0.218,0.98,0.158,1.19,0.282,0.75,0.18,0.92,0.181,2.4,0.709,12.66,7.44,2.28,,,
[20612] ZOU DONGYA (2016),samp. WLG14-41,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HEBEI PROVINCE / CHIFENG VOLCANIC FIELD,WEICHANG,41.94,41.94,117.74,117.74,subaerial,"LHERZOLITE, SPINEL, XENOLITH",PORPHYROCLASTIC+RESORPTION ,CLINOPYROXENE,,rim,secondary,51.6,,211,6026,,3.26,270.9,23.6,203.1,2.37,242.4,10.11,39.49,6.83,36.61,10.43,3.1,8.69,1.2,5.73,0.9,2.11,0.23,1.59,0.184,5.8,0.676,0.105,0.403,0.058,,,
[20612] ZOU DONGYA (2016),samp. WLG14-44,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HEBEI PROVINCE / CHIFENG VOLCANIC FIELD,WEICHANG,41.94,41.94,117.74,117.74,subaerial,"HARZBURGITE, SPINEL, XENOLITH",PORPHYROCLASTIC+RESORPTION ,CLINOPYROXENE,,rim,secondary,59.6,,253,7123,,1.24,70.4,14.4,31.7,0.896,7.09,4.95,12.49,1.85,8.91,2.81,1.09,2.75,0.425,2.95,0.55,1.48,0.18,1.23,0.158,0.96,0.067,0.175,0.294,0.041,,,
[20612] ZOU DONGYA (2016),samp. WLG14-31,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HEBEI PROVINCE / CHIFENG VOLCANIC FIELD,WEICHANG,41.94,41.94,117.74,117.74,subaerial,"LHERZOLITE, SPINEL, XENOLITH",PORPHYROCLASTIC,CLINOPYROXENE,,core,secondary,70.2,,273,6490,,,66.3,19.1,29.5,0.152,0.33,1.13,3.44,0.663,4.26,1.61,0.672,2.62,0.453,3.37,0.68,2,0.301,2,0.272,1.03,0.015,0.294,0.158,0.041,,,No metasomatism
[20612] ZOU DONGYA (2016),samp. WLG14-12,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HEBEI PROVINCE / CHIFENG VOLCANIC FIELD,WEICHANG,41.94,41.94,117.74,117.74,subaerial,"LHERZOLITE, SPINEL, XENOLITH",PORPHYROCLASTIC+RESORPTION ,CLINOPYROXENE,,rim,secondary,66.3,,265,6632,,,31.1,13.3,5.9,0.43,0.143,1.48,2.03,0.282,1.44,0.64,0.336,1.37,0.267,2.2,0.504,1.36,0.193,1.34,0.193,0.282,0.012,0.085,0.244,0.074,,,
[20612] ZOU DONGYA (2016),samp. WLG14-23,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HEBEI PROVINCE / CHIFENG VOLCANIC FIELD,WEICHANG,41.94,41.94,117.74,117.74,subaerial,"LHERZOLITE, SPINEL, XENOLITH",PORPHYROCLASTIC+RESORPTION ,CLINOPYROXENE,,core,secondary,65.9,,262,7349,,,28.7,13.5,8.3,0.441,0.149,0.735,1.58,0.241,1.49,0.76,0.344,1.37,0.28,2.35,0.484,1.44,0.225,1.55,0.231,0.297,0.013,0.092,0.089,0.023,,,
[20612] ZOU DONGYA (2016),samp. WLG14-23,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HEBEI PROVINCE / CHIFENG VOLCANIC FIELD,WEICHANG,41.94,41.94,117.74,117.74,subaerial,"LHERZOLITE, SPINEL, XENOLITH",PORPHYROCLASTIC+RESORPTION ,CLINOPYROXENE,,rim,secondary,79.8,,277,6535,,,38.1,17.2,29.2,1.353,0.54,3.57,8.21,1.129,5.84,1.78,0.533,2.09,0.418,2.79,0.614,1.65,0.242,1.78,0.227,0.701,0.061,0.072,0.497,0.13,,,
[20612] ZOU DONGYA (2016),samp. WLG14-35,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HEBEI PROVINCE / CHIFENG VOLCANIC FIELD,WEICHANG,41.94,41.94,117.74,117.74,subaerial,"LHERZOLITE, SPINEL, XENOLITH",PORPHYROCLASTIC+RESORPTION ,CLINOPYROXENE,,core,secondary,60,,239,8196,,,195.3,23.5,161.3,2.08,1.79,7.78,31.41,6.4,33.71,9.44,3.07,8.54,1.04,5.55,0.92,2.05,0.29,1.67,0.203,4.32,0.615,0.136,0.238,0.034,,,
[20612] ZOU DONGYA (2016),samp. WLG14-41,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HEBEI PROVINCE / CHIFENG VOLCANIC FIELD,WEICHANG,41.94,41.94,117.74,117.74,subaerial,"LHERZOLITE, SPINEL, XENOLITH",PORPHYROCLASTIC+RESORPTION ,CLINOPYROXENE,,core,secondary,60.3,,258,8023,,,251.5,23.1,160.1,2.18,4.67,10.13,38.87,6.82,33.96,9.02,3.02,8.27,1.01,5.37,0.86,2.06,0.244,1.4,0.196,3.59,0.664,0.056,0.489,0.051,,,
[20612] ZOU DONGYA (2016),samp. WLG14-31,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HEBEI PROVINCE / CHIFENG VOLCANIC FIELD,WEICHANG,41.94,41.94,117.74,117.74,subaerial,"LHERZOLITE, SPINEL, XENOLITH",PORPHYROCLASTIC,CLINOPYROXENE,,rim,secondary,68.3,,257,5930,,,65.7,18.8,28.2,0.107,0.25,1.15,3.27,0.593,3.56,1.49,0.678,2.41,0.436,3.1,0.67,1.93,0.274,1.86,0.296,0.93,,0.173,0.181,0.044,,,No metasomatism
[20612] ZOU DONGYA (2016),samp. WLG14-35,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HEBEI PROVINCE / CHIFENG VOLCANIC FIELD,WEICHANG,41.94,41.94,117.74,117.74,subaerial,"LHERZOLITE, SPINEL, XENOLITH",PORPHYROCLASTIC+RESORPTION ,CLINOPYROXENE,,rim,secondary,45,,207,5819,,,215.8,23.2,193.7,2.66,4.73,8.41,35.09,6.15,35.57,10.83,3.16,9.14,1.13,5.76,0.94,2.02,0.256,1.39,0.211,5.72,0.76,,0.44,0.063,,,
[20612] ZOU DONGYA (2016),samp. WLG14-39,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HEBEI PROVINCE / CHIFENG VOLCANIC FIELD,WEICHANG,41.94,41.94,117.74,117.74,subaerial,"HARZBURGITE, SPINEL, XENOLITH",PORPHYROCLASTIC+RESORPTION ,CLINOPYROXENE,,core,secondary,47.4,,255,8175,,,112.7,23.2,73,0.45,0.25,3.15,12.11,2.38,14.4,5.04,1.79,6.23,0.84,5.26,0.94,2.01,0.244,1.36,0.187,3.31,0.062,,0.062,0.008,,,
[20612] ZOU DONGYA (2016),samp. WLG14-39,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HEBEI PROVINCE / CHIFENG VOLCANIC FIELD,WEICHANG,41.94,41.94,117.74,117.74,subaerial,"HARZBURGITE, SPINEL, XENOLITH",PORPHYROCLASTIC+RESORPTION ,CLINOPYROXENE,,rim,secondary,35.2,,197,5898,,,84.3,21.1,71.1,1.073,1.04,3.05,11.31,2.28,13.34,4.79,1.61,5.64,0.82,4.76,0.76,1.84,0.221,1.32,0.148,3.29,0.07,,0.137,0.03,,,
[20612] ZOU DONGYA (2016),samp. WLG14-44,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HEBEI PROVINCE / CHIFENG VOLCANIC FIELD,WEICHANG,41.94,41.94,117.74,117.74,subaerial,"HARZBURGITE, SPINEL, XENOLITH",PORPHYROCLASTIC+RESORPTION ,CLINOPYROXENE,,core,secondary,68.2,,265,8362,,,58.5,14,20.2,0.258,,2.76,5.48,0.725,3.57,1.19,0.542,2.18,0.338,2.57,0.514,1.61,0.21,1.43,0.188,0.6,0.02,0.211,0.621,0.101,,,
[20612] ZOU DONGYA (2016),samp. WLG14-29,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HEBEI PROVINCE / CHIFENG VOLCANIC FIELD,WEICHANG,41.94,41.94,117.74,117.74,subaerial,"LHERZOLITE, SPINEL, XENOLITH",PORPHYROCLASTIC,CLINOPYROXENE,,rim,secondary,80.4,,290,6058,,,44.9,14,14.1,0.173,,1.11,2.67,0.415,2.28,0.89,0.483,1.71,0.317,2.3,0.53,1.38,0.208,1.47,0.214,0.537,0.019,0.054,0.057,,,,
[20612] ZOU DONGYA (2016),samp. WLG14-12,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HEBEI PROVINCE / CHIFENG VOLCANIC FIELD,WEICHANG,41.94,41.94,117.74,117.74,subaerial,"LHERZOLITE, SPINEL, XENOLITH",PORPHYROCLASTIC+RESORPTION ,CLINOPYROXENE,,core,secondary,62,,264,7013,,,29.2,12.9,5.5,0.431,,0.98,1.66,0.293,1.6,0.62,0.321,1.5,0.242,2.22,0.537,1.48,0.198,1.37,0.207,0.241,,0.091,0.143,0.039,,,
[20688] ABU EL-RUS M. A. (2016),samp. 4K,INTRAPLATE VOLCANICS,EAST SAHARA SWELL - CRETACEOUS / EGYPT / NATASH VOLCANIC FIELD,,24.42,24.42,33.43,33.43,subaerial,"PERIDOTITE, XENOLITH",,CLINOPYROXENE,,,secondary,,,,5190,289,0.171,80,6.45,20.43,0.773,0.338,2.1,4.16,0.564,2.533,1.137,0.413,1.432,0.221,1.44,0.267,0.728,,0.615,0.089,0.424,0.087,0.105,0.133,0.036,,,
[20688] ABU EL-RUS M. A. (2016),samp. 4F,INTRAPLATE VOLCANICS,EAST SAHARA SWELL - CRETACEOUS / EGYPT / NATASH VOLCANIC FIELD,,24.42,24.42,33.43,33.43,subaerial,"PERIDOTITE, XENOLITH",,CLINOPYROXENE,,,secondary,,,,6115,318,0.245,46,6.13,7.71,0.356,0.489,1.32,2.47,0.293,1.423,0.565,0.244,0.881,0.153,1.171,0.26,0.788,,0.822,0.127,0.212,0.026,0.244,0.182,0.057,,,
[20688] ABU EL-RUS M. A. (2016),samp. 4A,INTRAPLATE VOLCANICS,EAST SAHARA SWELL - CRETACEOUS / EGYPT / NATASH VOLCANIC FIELD,,24.42,24.42,33.43,33.43,subaerial,"PERIDOTITE, XENOLITH",,CLINOPYROXENE,,,secondary,,,,8221,356,0.327,431,12.18,25.67,0.314,0.431,13.85,31.25,3.352,11.902,2.206,0.832,2.211,0.347,2.349,0.482,1.357,,1.274,0.184,0.469,0.038,0.561,0.544,0.136,,,
[20688] ABU EL-RUS M. A. (2016),samp. 4C,INTRAPLATE VOLCANICS,EAST SAHARA SWELL - CRETACEOUS / EGYPT / NATASH VOLCANIC FIELD,,24.42,24.42,33.43,33.43,subaerial,"PERIDOTITE, XENOLITH",,CLINOPYROXENE,,,secondary,,,,6292,316,0.203,346,5.49,5.7,0.73,0.4,5.72,16.82,2.128,7.95,1.003,0.35,0.865,0.136,0.986,0.213,0.643,,0.7,0.106,0.119,0.012,0.396,0.412,0.104,,,
[20688] ABU EL-RUS M. A. (2016),samp. 4N,INTRAPLATE VOLCANICS,EAST SAHARA SWELL - CRETACEOUS / EGYPT / NATASH VOLCANIC FIELD,,24.42,24.42,33.43,33.43,subaerial,"PERIDOTITE, XENOLITH",,CLINOPYROXENE,,,secondary,,,,9016,483,0.257,163,11.3,27.87,1.225,0.674,8.01,16.32,1.949,8.507,2.018,0.701,2.1,0.319,2.138,0.437,1.254,,1.213,0.174,0.446,0.114,0.116,0.577,0.118,,,
[20688] ABU EL-RUS M. A. (2016),samp. 4Y,INTRAPLATE VOLCANICS,EAST SAHARA SWELL - CRETACEOUS / EGYPT / NATASH VOLCANIC FIELD,,24.42,24.42,33.43,33.43,subaerial,"PERIDOTITE, XENOLITH",,CLINOPYROXENE,,,secondary,,,,6256,368,0.194,203,10.4,15.04,0.61,0.419,4.97,5.74,0.465,2.048,0.85,0.335,1.506,0.265,1.959,0.413,1.202,,1.109,0.162,0.66,0.026,0.724,0.302,0.117,,,
[20688] ABU EL-RUS M. A. (2016),samp. 4L,INTRAPLATE VOLCANICS,EAST SAHARA SWELL - CRETACEOUS / EGYPT / NATASH VOLCANIC FIELD,,24.42,24.42,33.43,33.43,subaerial,"PERIDOTITE, XENOLITH",,CLINOPYROXENE,,,secondary,,,,4863,292,0.202,65,6.76,7.26,0.918,0.384,1.55,3.27,0.421,2.238,0.932,0.366,1.316,0.213,1.48,0.289,0.784,,0.692,0.098,0.238,0.041,0.105,0.156,0.045,,,
[20688] ABU EL-RUS M. A. (2016),samp. 4G,INTRAPLATE VOLCANICS,EAST SAHARA SWELL - CRETACEOUS / EGYPT / NATASH VOLCANIC FIELD,,24.42,24.42,33.43,33.43,subaerial,"PERIDOTITE, XENOLITH",,CLINOPYROXENE,,,secondary,,,,8327,350,0.194,470,10.51,60.11,0.438,0.502,16.21,40.92,5.26,21.422,3.943,1.189,3.178,0.438,2.493,0.423,1.07,,0.831,0.112,1.118,0.072,1.233,2.066,0.547,,,
[20688] ABU EL-RUS M. A. (2016),samp. 4B,INTRAPLATE VOLCANICS,EAST SAHARA SWELL - CRETACEOUS / EGYPT / NATASH VOLCANIC FIELD,,24.42,24.42,33.43,33.43,subaerial,"PERIDOTITE, XENOLITH",,CLINOPYROXENE,,,secondary,,,,6295,311,0.247,335,5.31,5.82,0.69,0.675,6.18,17.82,2.198,8.048,1.015,0.355,0.86,0.133,0.963,0.205,0.626,,0.68,0.104,0.118,0.016,0.413,0.523,0.138,,,
[20688] ABU EL-RUS M. A. (2016),samp. 4M,INTRAPLATE VOLCANICS,EAST SAHARA SWELL - CRETACEOUS / EGYPT / NATASH VOLCANIC FIELD,,24.42,24.42,33.43,33.43,subaerial,"PERIDOTITE, XENOLITH",,CLINOPYROXENE,,,secondary,,,,18495,1150,0.05,352,39.55,117.09,1.2,0.33,18.48,43.07,5.7,25.15,6.14,2.17,7,1.11,7.68,1.55,4.2,,3.84,0.53,1.71,0.21,1.49,2.19,0.7,,,
[20688] ABU EL-RUS M. A. (2016),samp. 4T,INTRAPLATE VOLCANICS,EAST SAHARA SWELL - CRETACEOUS / EGYPT / NATASH VOLCANIC FIELD,,24.42,24.42,33.43,33.43,subaerial,"PERIDOTITE, XENOLITH",,CLINOPYROXENE,,,secondary,,,,5542,325,0.505,440,12.14,4.4,1.02,0.351,7.8,18.15,2.11,7.64,1.13,0.4,0.26,1.47,2.03,0.45,1.39,,1.38,0.2,0.21,0.01,0.51,0.43,0.1,,,
[20741] SCOTT J. M. (2016),samp. BUR3,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / OTAGO / ALPINE DIKE SWARM,BURKE RIVER,-44,-44,169,169,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,87.4,3275.2,252.9,14678.2,352.9,0,227.1,17.1,197.2,1.234,0.07,6.697,27.857,4.893,27.302,7.459,2.266,6.504,0.919,4.718,0.744,1.514,0.159,0.886,0.093,6.699,0.24,0.342,0.17,0.029,,,
