License: Creative Commons Attribution 4.0 International (CC-BY 4.0) License.,,,,,,,,,,,,,,,,,,,,,,,
"Citation: Tappe, Sebastian, 2022, ""Global magmatic kimberlite and carbonatite compositions (elemental and isotopic)"", https://doi.org/10.25625/FLV19S, Göttingen Research Online / Data, V1.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Global Database of Major Element Compositions for Bulk Group-1 Kimberlites and Aillikites as compiled in Tappe et al. (2017, EPSL; supplementary file E)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Country / Region,Kimberlite Pipe / Cluster / Field,Kimberlite Group,Sample Number-1,Sample Number-2,Reference,Age [Ma],SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2,LOI,,,
,,,,,,,,,,,,,,,,,,,,,,,
North America - Greenland,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Leslie,Group-1 Kimberlite,,KIA96-LESLIE-B-2,Kjarsgaard et al. (2009),55.5,32.00,0.56,1.56,3.96,4.40,0.17,38.30,5.67,0.10,0.25,0.42,6.50,4.46,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Leslie,Group-1 Kimberlite,,KIA96-LESLIE-B-3,Kjarsgaard et al. (2009),55.5,31.90,0.55,1.55,3.95,4.40,0.16,37.60,6.03,0.14,0.25,0.40,6.40,4.78,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Leslie,Group-1 Kimberlite,,LDC-09@15.0,Kjarsgaard et al. (2009),55.5,31.40,0.58,1.60,3.42,4.30,0.16,37.20,9.14,0.10,0.64,0.42,5.90,4.90,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Leslie,Group-1 Kimberlite,,LDC-09@20.5,Kjarsgaard et al. (2009),55.5,32.20,0.57,1.50,3.60,4.50,0.17,38.79,7.84,0.10,0.45,0.41,6.50,3.50,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Leslie,Group-1 Kimberlite,,LDC-09@21.35,Kjarsgaard et al. (2009),55.5,30.30,0.62,1.60,4.04,4.10,0.17,36.83,9.40,0.10,0.56,0.45,7.80,3.70,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Leslie,Group-1 Kimberlite,,LDC-09@26.45,Kjarsgaard et al. (2009),55.5,30.70,0.58,1.70,4.06,3.90,0.17,37.36,7.71,0.00,0.47,0.63,9.00,3.10,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Leslie,Group-1 Kimberlite,,LDC-09@28.9,Kjarsgaard et al. (2009),55.5,30.10,0.61,1.40,4.15,4.00,0.17,38.41,9.16,0.10,0.33,0.54,7.40,2.90,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Misery,Group-1 Kimberlite,,MDC-1@40.2,Kjarsgaard et al. (2009),55.5,35.40,0.32,2.60,3.76,3.90,0.16,31.41,7.31,0.01,1.18,0.52,8.90,4.90,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Misery,Group-1 Kimberlite,,MDC-1@42.33,Kjarsgaard et al. (2009),55.5,37.50,0.34,3.00,3.89,3.70,0.16,32.49,4.07,0.01,0.97,0.51,10.70,2.40,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Misery,Group-1 Kimberlite,,MDC-1@43.59,Kjarsgaard et al. (2009),55.5,37.30,0.36,2.70,4.27,3.80,0.17,34.20,3.48,0.01,0.86,0.65,10.00,2.00,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Misery,Group-1 Kimberlite,,MDC-1@44.2,Kjarsgaard et al. (2009),55.5,34.40,0.33,2.40,3.55,4.00,0.15,32.93,7.10,0.01,0.46,0.46,9.40,4.90,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Misery,Group-1 Kimberlite,,MDC-1@50.35,Kjarsgaard et al. (2009),55.5,33.00,0.32,1.80,4.72,4.30,0.25,24.59,12.58,0.01,0.32,0.43,7.70,9.60,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Misery East,Group-1 Kimberlite,,DDH93-13@10.95,Kjarsgaard et al. (2009),55.5,32.50,0.33,2.10,2.95,4.00,0.14,31.17,11.34,0.01,1.65,0.66,4.60,8.20,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Misery East,Group-1 Kimberlite,,DDH93-13@14.9,Kjarsgaard et al. (2009),55.5,36.00,0.40,2.40,4.20,3.60,0.15,33.67,5.48,0.01,1.61,0.66,8.00,3.50,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Misery East,Group-1 Kimberlite,,DDH93-13@17,Kjarsgaard et al. (2009),55.5,36.40,0.37,2.70,4.00,3.60,0.16,33.82,4.51,0.10,1.68,0.57,9.10,2.90,,,,
