License: Creative Commons Attribution 4.0 International (CC-BY 4.0) License.,,,,,,,,,,,,,,,,,,,,,,,
"Citation: Tappe, Sebastian, 2022, ""Global magmatic kimberlite and carbonatite compositions (elemental and isotopic)"", https://doi.org/10.25625/FLV19S, Göttingen Research Online / Data, V1.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Global Database of Major Element Compositions for Bulk Group-1 Kimberlites and Aillikites as compiled in Tappe et al. (2017, EPSL; supplementary file E)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Country / Region,Kimberlite Pipe / Cluster / Field,Kimberlite Group,Sample Number-1,Sample Number-2,Reference,Age [Ma],SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2,LOI,,,
,,,,,,,,,,,,,,,,,,,,,,,
North America - Greenland,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Lake Timiskaming (Quebec/Ontario, Canada)",Lake Timiskaming SC 95-2,Group-1 Kimberlite,,95-2 D15 153.9,Kjarsgaard et al. (2009),,38.53,0.98,3.26,7.44,,0.34,23.14,7.31,0.35,2.92,0.75,10.04,4.36,14.40,,,
"Lake Timiskaming (Quebec/Ontario, Canada)",Lake Timiskaming SC 95-2,Group-1 Kimberlite,,95-2 D1 235.00,Kjarsgaard et al. (2009),,34.63,0.62,3.09,7.28,,0.16,24.54,9.72,0.36,1.45,1.09,8.35,7.55,15.90,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Amon Sill Complex (Baffin Island, N.W.T., Canada)",Amon Sills,Group-1 Kimberlite,,AMON06-005c (25.16-25.24m),Tappe et al. (2014),673,34.80,2.17,2.92,6.76,,0.12,22.00,11.86,0.11,0.46,0.87,,12.70,16.80,,,
"Amon Sill Complex (Baffin Island, N.W.T., Canada)",Amon Sills,Group-1 Kimberlite,,AMON06-005c (28.60-28.72m),Tappe et al. (2014),673,23.20,1.90,2.24,9.69,,0.17,24.30,13.20,0.06,0.56,0.85,,18.00,23.50,,,
"Amon Sill Complex (Baffin Island, N.W.T., Canada)",Amon Sills,Group-1 Kimberlite,,AMON06-005c (29.30-29.48m),Tappe et al. (2014),673,22.60,2.97,3.00,9.23,,0.17,23.60,12.89,0.09,0.64,1.39,,16.20,22.50,,,
"Amon Sill Complex (Baffin Island, N.W.T., Canada)",Amon Sills,Group-1 Kimberlite,,AMON06-005c (33.81-33.94m),Tappe et al. (2014),673,30.30,3.46,2.60,7.65,,0.12,27.10,8.34,0.04,0.16,0.45,,10.80,19.40,,,
"Amon Sill Complex (Baffin Island, N.W.T., Canada)",Amon Sills,Group-1 Kimberlite,,AMON06-007c (29.67-29.82m),Tappe et al. (2014),673,13.20,2.08,2.79,8.46,,0.26,15.00,27.19,0.06,0.57,1.06,,24.60,28.90,,,
"Amon Sill Complex (Baffin Island, N.W.T., Canada)",Amon Sills,Group-1 Kimberlite,,AMON06-007c (33.74-33.89m),Tappe et al. (2014),673,36.50,2.49,3.32,9.38,,0.12,23.00,9.85,0.10,0.72,0.98,,8.90,12.70,,,
"Amon Sill Complex (Baffin Island, N.W.T., Canada)",Amon Sills,Group-1 Kimberlite,,AMON06-007c (36.28-36.44m),Tappe et al. (2014),673,30.30,2.42,2.46,4.58,,0.18,24.80,11.19,0.05,0.29,0.68,,15.20,22.60,,,
"Amon Sill Complex (Baffin Island, N.W.T., Canada)",Amon Sills,Group-1 Kimberlite,,AMON06-008c (33.50-33.71m),Tappe et al. (2014),673,29.90,2.43,3.57,4.88,,0.15,20.40,16.38,0.17,1.42,0.75,,15.00,18.90,,,
"Amon Sill Complex (Baffin Island, N.W.T., Canada)",Amon Sills,Group-1 Kimberlite,,AMON06-008c (34.18-34.30m),Tappe et al. (2014),673,20.30,2.96,2.90,3.93,,0.21,16.20,25.12,0.17,0.54,1.36,,20.90,25.70,,,
"Amon Sill Complex (Baffin Island, N.W.T., Canada)",Amon Sills,Group-1 Kimberlite,,AMON06-009c (45.10-45.25m),Tappe et al. (2014),673,39.30,2.95,3.29,15.27,,0.14,23.00,4.08,0.19,0.73,1.00,,3.70,9.20,,,
"Amon Sill Complex (Baffin Island, N.W.T., Canada)",Amon Sills,Group-1 Kimberlite,,AMON06-009c (45.77-46.01m),Tappe et al. (2014),673,28.90,2.83,3.80,10.93,,0.15,25.00,8.90,0.09,0.93,1.21,,9.40,16.30,,,
"Amon Sill Complex (Baffin Island, N.W.T., Canada)",Amon Sills,Group-1 Kimberlite,,AMON06-012c (20.92-21.01m),Tappe et al. (2014),673,25.30,2.54,2.53,7.81,,0.14,21.80,16.98,0.10,0.43,0.85,,12.90,20.60,,,
"Amon Sill Complex (Baffin Island, N.W.T., Canada)",Amon Sills,Group-1 Kimberlite,,BAF-0206-05-003 (41.95-42.15m),Tappe et al. (2014),673,32.50,1.87,1.68,9.63,,0.13,33.00,4.27,0.02,0.07,0.09,,6.20,16.70,,,
"Amon Sill Complex (Baffin Island, N.W.T., Canada)",Amon Sills,Group-1 Kimberlite,,BAF-0206-05-003 (42.35-42.50m),Tappe et al. (2014),673,37.90,2.15,1.82,6.49,,0.10,29.00,5.40,0.15,0.10,0.35,,6.80,16.40,,,
"Amon Sill Complex (Baffin Island, N.W.T., Canada)",Amon Sills,Group-1 Kimberlite,,BAF-0206-05-003 (84.10-84.15m),Tappe et al. (2014),673,37.40,2.27,3.75,5.03,,0.10,22.00,13.12,0.18,0.55,0.71,,7.80,14.70,,,
"Amon Sill Complex (Baffin Island, N.W.T., Canada)",Amon Sills,Group-1 Kimberlite,,BAF-0206-05-004 (65.48-65.61m),Tappe et al. (2014),673,29.60,2.66,4.02,6.11,,0.13,19.40,16.65,0.09,0.06,0.35,,12.20,20.70,,,
"Amon Sill Complex (Baffin Island, N.W.T., Canada)",Amon Sills,Group-1 Kimberlite,,BAF-0206-05-004 (72.40-72.49m),Tappe et al. (2014),673,29.30,2.79,2.43,9.14,,0.17,23.80,12.54,0.04,0.28,0.54,,9.30,17.70,,,
"Amon Sill Complex (Baffin Island, N.W.T., Canada)",Aliguja Sills,Group-1 Kimberlite,,BAF-0340-06-001c (22.46-22.61m),Tappe et al. (2014),673,29.10,2.47,3.68,10.17,,0.13,20.70,10.91,0.09,0.85,0.45,,15.10,20.80,,,
"Amon Sill Complex (Baffin Island, N.W.T., Canada)",Aliguja Sills,Group-1 Kimberlite,,BAF-0340-06-002c (25.29-25.43m),Tappe et al. (2014),673,23.60,2.81,3.96,7.28,,0.13,22.30,13.84,0.10,1.30,1.01,,18.70,23.20,,,
,,,,,,,,,,,,,,,,,,,,,,,
Sarfartoq Complex (West Greenland),Sarfartoq Dykes,Group-1 Kimberlite / Aillikite,,KIM1,Gaffney et al. (2007),577.8,28.79,2.036,2.31,,12,0.221,30.03,11.3,0.047,1.434,0.71,,,10.52,,,
Sarfartoq Complex (West Greenland),Sarfartoq Dykes,Group-1 Kimberlite / Aillikite,,KIM2,Gaffney et al. (2007),577.8,30.9,4.33,1.42,,12.05,0.209,31.17,5.86,0.075,1.063,0.102,,,12.37,,,
Sarfartoq Complex (West Greenland),Sarfartoq Dykes,Group-1 Kimberlite / Aillikite,,KIM3,Gaffney et al. (2007),577.8,24.54,2.258,1.63,,11.96,0.23,25.35,15.08,0.027,0.834,0.928,,,16.58,,,
Sarfartoq Complex (West Greenland),Sarfartoq Dykes,Group-1 Kimberlite / Aillikite,,KIM4,Gaffney et al. (2007),577.8,24.76,2.596,1.51,,12.23,0.24,28.18,11.4,0.028,0.571,0.621,,,17.3,,,
Sarfartoq Complex (West Greenland),Sarfartoq Dykes,Group-1 Kimberlite / Aillikite,,KIM5,Gaffney et al. (2007),577.8,24.11,3.07,1.62,,12.04,0.199,22.64,15.27,,0.894,0.975,,,18.62,,,
Sarfartoq Complex (West Greenland),Sarfartoq Dykes,Group-1 Kimberlite / Aillikite,,KIM6,Gaffney et al. (2007),577.8,32.83,2.081,1.45,,10.12,0.173,33.66,6.49,0.076,0.948,0.254,,,11.4,,,
Sarfartoq Complex (West Greenland),Sarfartoq Dykes,Group-1 Kimberlite / Aillikite,,KIM7,Gaffney et al. (2007),577.8,32.06,1.701,1.28,,9.89,0.176,33.44,5.62,0.075,0.673,0.261,,,14.34,,,
Sarfartoq Complex (West Greenland),Sarfartoq Dykes,Group-1 Kimberlite / Aillikite,,KIM9,Gaffney et al. (2007),577.8,27.83,2.193,1.47,,12.1,0.212,29.83,11.26,0.056,1.183,0.714,,,12.56,,,
Sarfartoq Complex (West Greenland),Sarfartoq Dykes,Group-1 Kimberlite / Aillikite,,KIM10,Gaffney et al. (2007),577.8,30.42,2.622,2.63,,11.64,0.23,31.23,7.11,0.047,1.763,0.245,,,11.48,,,
Sarfartoq Complex (West Greenland),Sarfartoq Dykes,Group-1 Kimberlite / Aillikite,,KIM11,Gaffney et al. (2007),577.8,31.06,3.02,1.95,,12.81,0.201,27.62,9.41,0.142,1.04,0.424,,,11.88,,,
Sarfartoq Complex (West Greenland),Sarfartoq Dykes,Group-1 Kimberlite / Aillikite,,KIM12,Gaffney et al. (2007),577.8,23.93,2.692,2.87,,15.26,0.3,24.45,13.89,0.056,1.343,0.848,,,13.73,,,
Sarfartoq Complex (West Greenland),Sarfartoq Dykes,Group-1 Kimberlite / Aillikite,,KIM13,Gaffney et al. (2007),577.8,29.24,1.813,1.48,,11.2,0.189,29.99,8.7,0.341,1.126,0.421,,,15.02,,,
Sarfartoq Complex (West Greenland),Sarfartoq Dykes,Group-1 Kimberlite / Aillikite,,KIM14,Gaffney et al. (2007),577.8,24.79,3.12,2.13,,11.16,0.187,25.48,12.91,0.046,1.672,0.953,,,16.96,,,
Sarfartoq Complex (West Greenland),Sarfartoq Dykes,Group-1 Kimberlite / Aillikite,,KIM15,Gaffney et al. (2007),577.8,24.2,3.56,1.27,,19.12,0.35,29.55,8.64,0.038,0.199,0.806,,,11.72,,,
Sarfartoq Complex (West Greenland),Sarfartoq Dykes,Group-1 Kimberlite / Aillikite,,KIM16,Gaffney et al. (2007),577.8,29.94,3.22,1.98,,13.13,0.208,26.46,10.1,0.084,0.984,0.365,,,13.07,,,
Sarfartoq Complex (West Greenland),Sarfartoq Dykes,Group-1 Kimberlite / Aillikite,,KIM17,Gaffney et al. (2007),577.8,18.44,3.07,2.02,,12.33,0.22,17.74,22.77,,0.85,1.87,,,20.04,,,
,,,,,,,,,,,,,,,,,,,,,,,
Sarfartoq Complex (West Greenland),Sarfartoq Dykes,Group-1 Kimberlite / Aillikite,,474514,Tappe et al. (2011),577.8,29.2,2.37,2.58,12.65,,0.21,25.17,12.91,0.06,1.63,0.479,,7.7,11.75,,,
Sarfartoq Complex (West Greenland),Sarfartoq Dykes,Group-1 Kimberlite / Aillikite,,474515,Tappe et al. (2011),577.8,28.62,2.88,2.67,13.55,,0.23,24.05,11.83,0.07,1.52,0.747,,6.6,12.45,,,
Sarfartoq Complex (West Greenland),Sarfartoq Dykes,Group-1 Kimberlite / Aillikite,,474516,Tappe et al. (2011),577.8,27.4,2.46,2.49,12.44,,0.23,22.79,15.01,0.08,1.59,1.01,,8.4,13.1,,,
Sarfartoq Complex (West Greenland),Sarfartoq Dykes,Group-1 Kimberlite / Aillikite,,474517,Tappe et al. (2011),577.8,30,2.89,1.17,11.36,,0.17,35.44,2.64,0.01,0.71,0.074,,4.9,15.3,,,
Sarfartoq Complex (West Greenland),Sarfartoq Dykes,Group-1 Kimberlite / Aillikite,,474560,Tappe et al. (2011),577.8,28.89,1.7,1.47,10.41,,0.18,30.98,9.51,0.12,1.6,0.39,,10.7,13.85,,,
Sarfartoq Complex (West Greenland),Sarfartoq Dykes,Group-1 Kimberlite / Aillikite,,488810,Tappe et al. (2011),577.8,27,2.18,1.31,11.64,,0.2,30.77,10.44,0.03,0.81,0.516,,7.1,14.8,,,
Sarfartoq Complex (West Greenland),Sarfartoq Dykes,Group-1 Kimberlite / Aillikite,,488822,Tappe et al. (2011),577.8,25.38,2.28,1.91,10.65,,0.18,26.4,13.84,0.04,1.24,0.825,,9.8,16.9,,,
Sarfartoq Complex (West Greenland),Sarfartoq Dykes,Group-1 Kimberlite / Aillikite,,488823,Tappe et al. (2011),577.8,27.36,2.25,1.52,11.5,,0.21,30,9.68,0.04,1.07,0.573,,7.9,15.3,,,
Sarfartoq Complex (West Greenland),Sarfartoq Dykes,Group-1 Kimberlite / Aillikite,,488825,Tappe et al. (2011),577.8,25.71,1.94,1.49,10.49,,0.16,26.81,13.35,0.04,1.01,0.797,,9.7,17.05,,,
Sarfartoq Complex (West Greenland),Sarfartoq Dykes,Group-1 Kimberlite / Aillikite,,P-Dyke,Tappe et al. (2011),577.8,30.26,1.46,2.15,10.68,,0.16,34.23,4.9,0.01,0.54,0.218,,5.1,16.2,,,
Sarfartoq Complex (West Greenland),Sarfartoq Dykes,Group-1 Kimberlite / Aillikite,,266511,Tappe et al. (2011),577.8,23,2.68,3.96,17.02,,0.23,20.37,11.47,0.15,2.87,0.746,,13,17.15,,,
Sarfartoq Complex (West Greenland),Sarfartoq Dykes,Carbonatite,,477425*,Tappe et al. (2011),577.8,12.2,1.78,0.72,10.55,,0.25,16.34,21.16,0.31,0.61,0.721,,26.9,33,,,
Sarfartoq Complex (West Greenland),Sarfartoq Dykes,Carbonatite,,483827/28*,Tappe et al. (2011),577.8,11.85,1.62,0.83,10.2,,0.36,17.5,21.63,0.25,0.93,0.88,,28.06,31.8,,,
,,,,,,,,,,,,,,,,,,,,,,,
Maniitsoq (West Greenland),Maniitsoq Dykes/Sheets,Group-1 Kimberlite,,483838,Tappe et al. (2011),558.3,29.026,2.524,1.496,10.73371149,,0.173,34.97,9.648,0.1,0.637,0.304,,7.1,10.161,,,
Maniitsoq (West Greenland),Maniitsoq Dykes/Sheets,Group-1 Kimberlite,,483840,Tappe et al. (2011),558.3,29.459,2.616,1.632,10.6340349,,0.184,32.742,7.119,0.06,0.359,0.269,,12.2,14.667,,,
Maniitsoq (West Greenland),Maniitsoq Dykes/Sheets,Group-1 Kimberlite,,483842,Tappe et al. (2011),558.3,25.334,2.629,1.572,10.65732629,,0.183,33.338,10.028,0.11,0.49,0.326,,12.3,15.008,,,
Maniitsoq (West Greenland),Maniitsoq Dykes/Sheets,Group-1 Kimberlite,,483843,Tappe et al. (2011),558.3,24.518,2.188,2.728,13.5007066,,0.228,33.141,7.442,0.08,0.536,0.17,,10.3,13.139,,,
Maniitsoq (West Greenland),Maniitsoq Dykes/Sheets,Group-1 Kimberlite,,483844,Tappe et al. (2011),558.3,26.687,2.276,1.515,10.00737075,,0.165,33.086,8.504,0.13,0.866,0.306,,13.4,16.018,,,
Maniitsoq (West Greenland),Maniitsoq Dykes/Sheets,Group-1 Kimberlite,,483845,Tappe et al. (2011),558.3,30.272,2.185,0.572,10.39153367,,0.147,37.685,4.874,0.06,0.103,0.271,,10.5,13.331,,,
Maniitsoq (West Greenland),Maniitsoq Dykes/Sheets,Group-1 Kimberlite,,483847,Tappe et al. (2011),558.3,26.223,1.777,0.753,9.612424983,,0.148,36.362,3.734,0.08,0.195,0.043,,17.9,20.702,,,
Maniitsoq (West Greenland),Maniitsoq Dykes/Sheets,Group-1 Kimberlite,,483848,Tappe et al. (2011),558.3,23.185,1.915,1.094,10.05905468,,0.177,32.888,11.103,0.18,0.091,0.868,,14.3,17.956,,,
Maniitsoq (West Greenland),Maniitsoq Dykes/Sheets,Group-1 Kimberlite,,483849,Tappe et al. (2011),558.3,23.766,1.177,1.733,11.7747904,,0.212,31.565,6.891,0.06,0.538,0.347,,16.5,19.147,,,
Maniitsoq (West Greenland),Maniitsoq Dykes/Sheets,Group-1 Kimberlite,,483850,Tappe et al. (2011),558.3,25.056,2.336,1.381,10.29619049,,0.178,32.586,11.725,0.1,0.504,0.27,,12.1,15.197,,,
Maniitsoq (West Greenland),Maniitsoq Dykes/Sheets,Group-1 Kimberlite,,483857,Tappe et al. (2011),558.3,26.88,1.01,1.47,11.59,,0.21,36,7.58,0.02,0.12,0.396,,10.3,12.3,,,
Maniitsoq (West Greenland),Maniitsoq Dykes/Sheets,Group-1 Kimberlite,,483860,Tappe et al. (2011),558.3,26.877,2.362,1.152,11.55714359,,0.179,35.204,7.427,0.1,0.509,0.771,,9.9,13.266,,,
Maniitsoq (West Greenland),Maniitsoq Dykes/Sheets,Group-1 Kimberlite,,483861,Tappe et al. (2011),558.3,26.71,1.883,1.085,9.824829962,,0.156,33.751,11.373,0.06,0.173,0.448,,10.6,14.534,,,
Maniitsoq (West Greenland),Maniitsoq Dykes/Sheets,Group-1 Kimberlite,,483862,Tappe et al. (2011),558.3,16.695,1.696,1.32,10.5610349,,0.186,26.427,17.762,0.15,0.047,0.354,,20.3,22.327,,,
Maniitsoq (West Greenland),Maniitsoq Dykes/Sheets,Group-1 Kimberlite,,483863,Tappe et al. (2011),558.3,29.01,1.176,1.353,11.75389175,,0.188,38.65,5.517,0.07,0.099,0.074,,6.4,10.392,,,
Maniitsoq (West Greenland),Maniitsoq Dykes/Sheets,Group-1 Kimberlite,,483864,Tappe et al. (2011),558.3,26.05,2.8,1.62,12.88,,0.2,33.45,7.02,0.01,0.52,0.374,,6.4,10.75,,,
Maniitsoq (West Greenland),Maniitsoq Dykes/Sheets,Group-1 Kimberlite,,488582,Tappe et al. (2011),558.3,27.76,2.15,1.14,10.26,,0.19,36.65,7.47,0.02,0.29,0.292,,9.9,12.75,,,
Maniitsoq (West Greenland),Maniitsoq Dykes/Sheets,Group-1 Kimberlite,,M491702,Tappe et al. (2011),558.3,23.65,3.1,1.32,10.23828184,,0.18,29.51,14.6,0.12,0.21,0.86,,10.1,15.57,,,
Maniitsoq (West Greenland),Maniitsoq Dykes/Sheets,Group-1 Kimberlite,,M491708,Tappe et al. (2011),558.3,25.46,3.33,1.55,11.0394621,,0.18,31.59,11.87,0.1,0.3,0.81,,10.33333333,13.33,,,
Maniitsoq (West Greenland),Maniitsoq Dykes/Sheets,Group-1 Kimberlite,,M491712,Tappe et al. (2011),558.3,27.18,3.85,1.5,11.99734608,,0.19,35.02,8.22,0.1,0.28,0.3,,8.8,10.84,,,
Maniitsoq (West Greenland),Maniitsoq Dykes/Sheets,Group-1 Kimberlite,,M491722/20,Tappe et al. (2011),558.3,26.13,3.77,1.4,11.80607691,,0.18,33.59,9.97,0.08,0.13,0.35,,9.5,12.32,,,
Maniitsoq (West Greenland),Maniitsoq Dykes/Sheets,Group-1 Kimberlite,,M491741,Tappe et al. (2011),558.3,24.62,4.01,1.34,11.40952878,,0.19,32.98,10.45,0.11,0.06,0.4,,10.3,13.75,,,
,,,,,,,,,,,,,,,,,,,,,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Akuliarusinguaq,Nielsen et al. (2009),577.8,30,3.54,2.74,3.8,8.6,0.2,27.8,8.2,0.32,1.74,0.41,,,9.8,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Akuliarusinguaq,Nielsen et al. (2009),577.8,30.5,3.05,2.2,3.9,8.48,0.2,28.7,8.74,0.3,1.44,0.31,,,9.5,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Maniitsorssuaq island,Nielsen et al. (2009),577.8,32.5,4.17,2.42,4.8,9.37,0.22,27.7,9.28,0.25,1.5,0.66,,,4.05,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Maniitsorssuaq island,Nielsen et al. (2009),577.8,31.8,4.21,3.35,6.2,7.96,0.21,22.6,11.1,0.56,1.76,0.88,,,6.3,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Maniitsorssuaq island,Nielsen et al. (2009),577.8,32.28,4.57,2.22,5.21,9.34,0.19,32.3,5.54,0.19,1.25,0.25,,,4.83,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Maniitsorssuaq island,Nielsen et al. (2009),577.8,25.27,1.38,2.1,4.67,6.08,0.23,25.69,13.93,0.17,1.01,0.77,,,16.54,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Kangerlussuup nunaa north,Nielsen et al. (2009),577.8,29.94,2.45,1.75,5.56,5.35,0.15,29.88,7.83,0.04,0.71,0.55,,,14.2,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Qaassuup aasivii (Paternoster),Nielsen et al. (2009),577.8,26.83,5.21,5.24,7.31,5.9,0.2,13.05,19.05,0.62,2.54,0.53,,,11.55,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Panersiiviup Qulaa,Nielsen et al. (2009),577.8,15.1,1.24,1.01,4.6,5.22,0.22,18.4,25.6,0.16,0.47,1.22,,,23.5,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Panersiiviup Qulaa,Nielsen et al. (2009),577.8,24.01,5.2,1.82,6.5,10.44,0.26,27.13,11.31,0.08,0.72,0.87,,,9.7,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Panersiiviup Qulaa,Nielsen et al. (2009),577.8,26.6,1.55,1.07,5.2,7.38,0.24,29.3,12.5,0.14,0.5,0.77,,,12.3,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Qaggatsiap Kangilersuaq (Aqisseq),Nielsen et al. (2009),577.8,30.8,2.94,2.13,3.1,8.1,0.17,29.3,6.21,0.8,1.68,0.16,,,11.8,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Qaggatsiap Kangilersuaq (Aqisseq),Nielsen et al. (2009),577.8,32.12,2.78,2.1,3.76,7.88,0.18,30.01,8.73,0.32,1.7,0.33,,,8.84,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Kangerlussuup nunaa south,Nielsen et al. (2009),577.8,28.8,2.76,0.58,5.5,5.34,0.17,33.8,6.66,0.16,0.31,0.33,,,13.6,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Sarfartoq Valley,Nielsen et al. (2009),577.8,20.2,2.21,0.86,4.4,7.93,0.24,25.2,17.4,0.19,0.33,1.02,,,17.6,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Q™ruluarqap kža,Nielsen et al. (2009),577.8,24.57,1.58,0.65,4.2,8.35,0.23,32.81,10.57,0.08,0.03,0.52,,,16.54,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Q™ruluarqap kža,Nielsen et al. (2009),577.8,18.28,3.07,1.37,5.87,8.1,0.24,23.32,20.14,0.08,0.15,1.53,,,17.65,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Q™ruluarqap kža,Nielsen et al. (2009),577.8,25.75,2.71,0.43,5.29,10.82,0.26,30.69,11.45,0.07,0.09,0.88,,,11.89,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Sarfartoq Valley,Nielsen et al. (2009),577.8,25.78,2.1,2.4,4.17,7.05,0.19,24.64,14.88,0.12,2.09,0.85,,,15.34,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Um”v”t,Nielsen et al. (2009),577.8,24.75,1.73,0.33,4.28,7.54,0.25,29.05,14.44,0.11,0.28,0.88,,,16.66,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Kissavissat Qooruat (E),Nielsen et al. (2009),577.8,26.79,2.07,1.85,4.9,5.76,0.17,26.84,13.05,0.07,1.15,0.65,,,14.89,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Kissavissat Oooruat (E),Nielsen et al. (2009),577.8,27.5,2.03,2.64,5.5,4.6,0.18,26.9,11,0.15,1.49,0.69,,,14.75,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Sarfartoq (SW),Nielsen et al. (2009),577.8,29.2,1.39,0.96,7,2.99,0.17,32.3,6.86,0.17,0.51,0.26,,,16.3,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Sarfartuup Nunaa south,Nielsen et al. (2009),577.8,27.66,2.2,1.59,3.69,7.09,0.17,30.96,11.38,0.08,1.35,1.3,,,11.24,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Sarfartuup Nunaa south,Nielsen et al. (2009),577.8,29.55,2.43,2.31,6.49,5.09,0.19,27.23,9.38,0.08,1.35,0.97,,,13.18,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Qaggatsiaq (Tutu),Nielsen et al. (2009),577.8,29.1,3.96,2.21,3.4,8.61,0.2,26.1,9.69,0.78,1.57,0.43,,,10.9,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Qaggatsiaq (Tutu),Nielsen et al. (2009),577.8,23.5,3.37,0.23,3.6,6.78,0.18,27.3,12.7,0.19,0.66,0.46,,,18.5,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Sarfartuup Nunaa south,Nielsen et al. (2009),577.8,29.82,3.45,2.44,4.77,7.63,0.18,24.9,10.56,0.15,1.06,0.57,,,12.22,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Sarfartuup Nunaa south,Nielsen et al. (2009),577.8,30.34,2.85,1.74,5.3,7.27,0.18,28.37,8.7,0.09,0.78,0.44,,,12.34,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Sarfartuup Nunaa south,Nielsen et al. (2009),577.8,31.72,3.12,1.94,4.25,8.96,0.19,29.11,9.7,0.3,0.85,0.42,,,8.04,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Atanaligaarsuit (Anna),Nielsen et al. (2009),577.8,31.2,1.82,1.25,4.28,5.28,0.15,32.91,5.53,0.39,0.71,0.24,,,14.78,,,
Maniitsoq & Sarfartoq (West Greenland),Maniitsoq & Sarfartoq Dykes/Sheets,Group-1 Kimberlite,,Eqalummiut nunaat (Alex),Nielsen et al. (2009),577.8,26.06,3.07,1.93,6.14,5.01,0.21,25.4,13.29,0.08,1.63,0.81,,,14.77,,,
