Supplementary material: Table DR2. Full data set.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arc,Sample,Location,Geologycal_age,Domain,Sample_type,Rock_type,Geochemistry Reference,Country,Age  (Ma),error (Ma),Age Reference,Longitude (X),Latitude (Y),SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,LOI,SUM (no water),,Nb_xrf,Zr_xrf,Y_xrf,Sr_xrf,Rb_xrf,Pb_xrf,Ga_xrf,Zn_xrf,Cu_xrf,Ni_xrf,Co_xrf,Cr_xrf,V_xrf,Ba_xrf,Sc_xrf,,Li_icpms,Sc_icpms,V_icpms,Co_icpms,Ni_icpms,Cu_icpms,Zn_icpms,Rb_icpms,Sr_icpms,Y_icpms,Nb_icpms,Zr_icpms,Mo_icpms,Cs_icpms,Cd_icpms,Ba_icpms,La_icpms,Ce_icpms,Pr_icpms,Nd_icpms,Sm_icpms,Eu_icpms,Gd_icpms,Tb_icpms,Dy_icpms,Ho_icpms,Er_icpms,Tm_icpms,Yb_icpms,Lu_icpms,Hf_icpms,Ta_icpms,W_icpms,Pb_icpms,Th_icpms,U_icpms,,La/Sm,La/Yb,Sr/Y,Sm/Yb,Dy/Yb,,87_86Sr,87_86Sr_error,87_86Sr initial,143_144Nd,143_144Nd_error,eNd,TDM ages,206_204Pb,206Pb_error,207_204Pb,207Pb_error,208Pb_204Pb,208Pb_error
Frontal arc,AND-99-05    ,Andagua,Quaternary,transition,lava,andesite,"Mamani et al., 2008",Peru,0.00,0.00,"Delacour et al., 2007",-72.333,-15.430,61.20,0.98,16.50,5.44,,0.08,2.21,4.74,4.81,2.99,0.43,,,99.37,,9.0,226.0,12.0,901.0,75.0,16.0,24.0,105.0,57.0,17.0,17.0,26.0,120.0,1266.0,10.0,,17.5,6.5,114.7,13.1,16.1,48.7,102.0,42.1,836.2,10.7,10.4,228.5,1.4,1.0,0.4,1143.4,34.8,81.0,9.1,34.1,5.7,1.3,4.0,0.4,2.3,0.4,1.0,0.1,0.8,0.1,5.8,0.5,2.5,13.3,4.9,0.9,,6.1,45.8,75.1,7.5,3.0,,,,,,,,,,,,,,
Frontal arc,AND-99-08    ,Andagua,Quaternary,Arequipa,lava,dacite,"Mamani et al., 2008",Peru,,,,-72.345,-15.431,67.30,0.59,15.20,3.44,,0.05,1.12,2.88,3.97,4.35,0.22,,,99.11,,9.0,214.0,12.0,492.0,214.0,25.0,19.0,62.0,36.0,12.0,9.0,12.0,66.0,1063.0,6.0,,12.9,3.0,63.0,6.9,7.1,30.5,70.0,171.9,484.0,6.6,9.9,130.2,1.2,2.9,0.2,996.1,28.7,69.2,6.7,23.5,3.8,0.7,2.8,0.3,1.5,0.2,0.6,0.1,0.4,0.1,4.0,0.6,2.2,18.8,15.0,1.7,,7.5,67.5,41.0,9.0,3.4,,0.7065,0.0000,0.7065,0.51238,0.00001,-5.0,1.1,18.530,0.001,15.559,0.001,38.461,0.002
Frontal arc,AND-99-01    ,Andagua,Quaternary,transition,lava,andesite,"Delacour et al., 2007; Mamani et al., 2008",Peru,0.00,0.00,"Delacour et al., 2007",-72.333,-15.431,62.40,0.94,16.10,5.16,,0.07,1.97,4.35,4.41,3.35,0.37,,,99.11,,7.0,214.0,12.0,781.0,123.0,15.0,21.0,88.0,43.0,15.0,19.0,26.0,109.0,1162.0,7.0,,18.7,6.1,111.1,12.7,14.8,40.0,99.2,89.4,759.7,10.5,9.1,221.9,2.0,2.1,0.3,1057.2,36.9,83.2,9.4,35.3,5.9,1.3,4.2,0.5,2.2,0.4,0.9,0.1,0.7,0.1,5.9,0.5,1.6,15.4,11.6,1.2,,6.3,54.5,65.1,8.7,3.3,,0.7064,0.0000,0.7064,0.51242,0.00001,-4.4,1.0,18.568,0.001,15.602,0.001,38.626,0.002
Frontal arc,AND-99-04    ,Andagua,Quaternary,transition,lava,andesite,"Mamani et al., 2008",Peru,0.00,0.00,"Delacour et al., 2007",-72.333,-15.431,60.40,1.09,16.70,5.93,,0.08,2.36,5.09,4.71,2.88,0.44,,,99.68,,8.0,218.0,15.0,936.0,75.0,11.0,22.0,99.0,56.0,18.0,17.0,28.0,141.0,1181.0,12.0,,16.8,8.2,133.8,14.7,17.4,51.5,97.6,84.4,1012.7,10.1,8.4,196.0,1.5,1.3,,1205.9,43.0,93.1,10.7,40.7,7.0,1.8,4.9,0.6,2.5,0.4,1.1,0.1,0.8,0.1,6.7,0.4,6.6,13.7,7.6,1.1,,6.1,54.4,62.4,8.9,3.1,,0.7063,0.0000,0.7063,0.51244,0.00001,-3.8,1.0,,,,,,
Frontal arc,AND-99-07    ,Andagua,Quaternary,transition,lava,andesite,"Mamani et al., 2008",Peru,,,,-72.345,-15.431,59.30,1.17,16.80,6.29,,0.08,2.55,5.34,4.90,2.70,0.49,,,99.62,,8.0,228.0,14.0,1068.0,57.0,13.0,23.0,155.0,65.0,19.0,16.0,30.0,140.0,1284.0,9.0,,14.4,8.0,134.5,15.7,18.4,56.5,113.7,44.4,1016.0,11.3,8.5,227.3,1.4,0.7,0.3,1171.3,41.1,90.1,10.8,41.2,6.8,1.6,4.7,0.5,2.5,0.4,1.0,0.1,0.7,0.1,5.8,0.4,0.7,11.9,4.2,0.7,,6.1,57.5,76.3,9.5,3.5,,,,,,,,,,,,,,
Frontal arc,AND-99-10    ,Andagua,Quaternary,transition,lava,andesite,"Delacour et al., 2007; Mamani et al., 2008",Peru,,,,-72.348,-15.433,61.40,0.98,16.20,5.46,,0.08,2.10,4.62,4.59,3.21,0.39,,,99.03,,7.0,218.0,14.0,845.0,106.0,12.0,23.0,91.0,55.0,15.0,15.0,25.0,122.0,1166.0,12.0,,17.9,7.3,114.8,13.5,15.0,59.9,99.4,101.2,814.5,10.7,8.9,219.8,1.8,1.9,0.3,1106.8,41.8,88.9,10.4,38.7,6.4,1.5,4.5,0.5,2.4,0.4,1.0,0.1,0.7,0.1,5.8,0.5,1.8,14.6,10.5,1.3,,6.5,59.0,60.4,9.1,3.4,,0.7063,0.0000,0.7063,0.51242,0.00001,-4.3,1.0,18.551,0.001,15.577,0.001,38.549,0.002
Frontal arc,AND-99-15    ,Andagua,Quaternary,transition,lava,dacite,"Delacour et al., 2007; Mamani et al., 2008",Peru,,,,-72.348,-15.433,64.30,0.89,15.70,4.73,,0.07,1.82,4.08,4.58,3.02,0.33,,,99.51,,7.0,150.0,11.0,701.0,88.0,19.0,22.0,80.0,48.0,17.0,15.0,21.0,107.0,826.0,6.0,,27.5,5.3,103.0,11.8,14.9,43.5,89.6,64.2,643.4,9.9,8.3,149.6,1.5,2.1,0.2,769.1,22.3,54.0,6.4,25.4,4.7,1.1,3.6,0.4,2.1,0.3,0.9,0.1,0.7,0.1,4.3,0.6,4.4,15.3,5.6,1.8,,4.7,30.6,63.7,6.5,2.9,,0.7063,0.0000,0.7063,0.51243,0.00000,-4.1,1.1,,,,,,
Frontal arc,121_016,Andagua,Quaternary,transition,lava,andesite,"Sørensen and Holm, 2008",Peru,,,,-72.340,-15.470,58.12,1.17,16.70,6.29,,0.08,2.63,5.67,4.91,2.63,0.62,,0.30,98.83,,9.8,224.0,12.5,1247.0,48.0,10.0,24.0,106.0,76.0,19.0,15.0,28.0,151.0,1493.0,11.0,,,,,,,,,,,,,,,,,,53.0,28.0,,50.0,,,,,,,,,,,,,,10.0,3.0,,,,,99.8,,,,,,,,,,,,,,,,
Frontal arc,121_102,Andagua,Quaternary,transition,lava,andesite,"Sørensen and Holm, 2008",Peru,,,,-72.340,-15.470,56.44,1.33,16.88,6.93,,0.09,3.36,6.54,4.74,2.18,0.58,,0.00,99.07,,8.0,183.0,13.0,1244.0,34.0,11.0,24.0,104.0,61.0,35.0,19.0,65.0,174.0,1276.0,11.0,,,,,,,,,,,,,,,,,,41.0,84.0,,43.0,,,,,,,,,,,,,,11.0,3.0,,,,,95.7,,,,,,,,,,,,,,,,
Frontal arc,121_045,Andagua,Quaternary,transition,lava,andesite,"Sørensen and Holm, 2008",Peru,,,,-72.373,-15.474,58.50,1.13,16.79,6.14,,0.08,2.50,5.39,5.01,2.70,0.60,,0.37,98.84,,10.9,241.0,13.2,1177.0,54.0,12.0,25.0,111.0,71.0,19.0,14.0,26.0,146.0,1534.0,9.0,,,,,,,,,,,,,,,,,,53.0,106.0,,50.0,,,,,,,,,,,,,,12.0,5.0,,,,,89.2,,,,,,,,,,,,,,,,
